timestamp,mode,x,y,z,r
6512000,4,0.0,0.0,0.5,0.0
7160000,2,0.0,0.0,0.5,0.0
7356000,100,0.0,0.0,0.5,0.0
7560000,100,0.0,0.0,0.5,0.0
7760000,100,0.0,0.0,0.5,0.0
7988000,20,0.0,0.0,0.5,0.0
7992000,100,0.0,0.0,0.5,0.0
8196000,100,0.0,0.0,0.5,0.0
8396000,100,0.0,0.0,0.5,0.0
8596000,100,0.0,0.0,0.5,0.0
8820000,100,0.0,0.0,0.5,0.0
8924000,100,0.0,0.0,0.5,0.0
9132000,100,0.0,0.0,0.5,0.0
9336000,100,0.0,0.0,0.5,0.0
9540000,100,0.0,0.0,0.5,0.0
9740000,100,0.0,0.0,0.5,0.0
9944000,100,0.0,0.0,0.5,0.0
10148000,100,0.0,0.0,0.5,0.0
10348000,100,0.0,0.0,0.5,0.0
10556000,100,0.0,0.0,0.5,0.0
10752000,100,0.0,0.0,0.5,0.0
10956000,100,0.0,0.0,0.5,0.0
11156000,100,0.0,0.0,0.5,0.0
11356000,100,0.0,0.0,0.5,0.0
11560000,100,0.0,0.0,0.5,0.0
11760000,100,0.0,0.0,0.5,0.0
11960000,100,0.0,0.0,0.5,0.0
12160000,100,0.0,0.0,0.5,0.0
12360000,100,0.0,0.0,0.5,0.0
12564000,100,0.0,0.0,0.5,0.0
12764000,100,0.0,0.0,0.5,0.0
12968000,100,0.0,0.0,0.5,0.0
13184000,10,0.0,0.0,0.5,0.0
20084000,4,0.0,0.0,0.5,0.0
22628000,2,0.0,0.0,0.5,0.0
22648000,100,-0.3308,-0.4508,0.8882,-0.2502
22668000,100,-0.3308,-0.4508,0.8882,-0.2502
22688000,100,-0.3308,-0.4508,0.8882,-0.2502
22708000,100,-0.3308,-0.4508,0.8882,-0.2502
22728000,100,-0.3308,-0.4508,0.8882,-0.2502
22748000,100,-0.3308,-0.4508,0.8882,-0.2502
22768000,100,-0.3308,-0.4508,0.8882,-0.2502
22788000,100,-0.3308,-0.4508,0.8882,-0.2502
22808000,100,-0.3308,-0.4508,0.8882,-0.2502
22828000,100,-0.3308,-0.4508,0.8882,-0.2502
22848000,100,-0.3308,-0.4508,0.8882,-0.2502
22868000,100,-0.3308,-0.4508,0.8882,-0.2502
22888000,100,-0.3308,-0.4508,0.8882,-0.2502
22908000,100,-0.3308,-0.4508,0.8882,-0.2502
22928000,100,-0.3308,-0.4508,0.8882,-0.2502
22948000,100,-0.3308,-0.4508,0.8882,-0.2502
22968000,100,-0.3308,-0.4508,0.8882,-0.2502
22988000,100,-0.3308,-0.4508,0.8882,-0.2502
23008000,100,-0.3308,-0.4508,0.8882,-0.2502
23028000,100,-0.3308,-0.4508,0.8882,-0.2502
23048000,100,-0.3308,-0.4508,0.8882,-0.2502
23068000,100,-0.3308,-0.4508,0.8882,-0.2502
23088000,100,-0.3308,-0.4508,0.8882,-0.2502
23108000,100,-0.3308,-0.4508,0.8882,-0.2502
23128000,100,-0.3308,-0.4508,0.8882,-0.2502
23148000,100,-0.3308,-0.4508,0.8882,-0.2502
23168000,100,-0.3308,-0.4508,0.8882,-0.2502
23188000,100,-0.3308,-0.4508,0.8882,-0.2502
23208000,100,-0.3308,-0.4508,0.8882,-0.2502
23228000,100,-0.3308,-0.4508,0.8882,-0.2502
23248000,100,-0.3308,-0.4508,0.8882,-0.2502
23268000,100,-0.3308,-0.4508,0.8882,-0.2502
23288000,100,-0.3308,-0.4508,0.8882,-0.2502
23308000,100,-0.3308,-0.4508,0.8882,-0.2502
23328000,100,-0.3308,-0.4508,0.8882,-0.2502
23348000,100,-0.3308,-0.4508,0.8882,-0.2502
23368000,100,-0.3308,-0.4508,0.8882,-0.2502
